Meta;State;Region;Road;Geo;Meters;Residue;;;;;;;
PH1;undefined;undefined;undefined;становка,дорожное;undefined; приобретение и уавтоматизированный оборудование учёт интенсивность движение на подведомственная сеть автомобильные дороги общее пользование федеральное значение;;;;;;;
PH3;новгородская область;undefined;undefined;крестцы,устюжна,устюжна,валдай;26+245,166+520,; оказание услуги по содержание искусственные дорожные сооружения на автомобильная дороге: А-122 автомобильная дорога А-114 – – – яжелбица – великие лука – Невель, - на участок км – км ;;;;;;;
PH3;новгородская область;undefined;undefined;старая,крестцы,устюжна;0+130,62+055,; оказание услуги по содержание искусственные дорожные сооружения на автомобильная дороге: А-122 автомобильная дорога А-114 – – – яжелбица – великие лука – Невель, яжелбица – демянск – русс – сольца на участок км – км ;;;;;;;
PH3;новгородская область;undefined;undefined;старая,крестцы,устюжна;0+000,130+746;,151+759,189+340,; оказание услуги по содержание искусственные дорожные сооружения на автомобильная дороге: А-122 автомобильная дорога А-114 яжелбица великие лука Невель, демянск марёво холм на участок км км шимск русс локнившие великие лука на участок км км ;;;;;;
PH2;undefined;undefined;undefined;дорожное;1.34.1(2); выполнение работы по замена дорожные знаки и дооборудование световозвращающие элементы КД-3 для организация движение на автомобильные дороги общее пользование федеральное значение;;;;;;;
PH3;курганская область;undefined;"Р-254 ""Иртыш"" челябинск - курган - омск - новосибирск ";undefined;225+000,231+000,; выполнение работы по устройство слои износ на автомобильная дорога а участок км - км ;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; капитальный ремонт подъездная автодорога;;;;;;;
PH2;г. Москва;черноморский;undefined;undefined;undefined; благоустройство прилегающая территория и текущий ремонт кровля административное здание по адресу:  ул. бульвар, д.1, корп.1;;;;;;;
PH3;г. Москва;undefined;undefined;заводское,заводское;00000951),00000951); выполнение работы по эксплуатационно-техническое обслуживание и содержание объекты недвижимый и движимый имущество (включающие помещение и оборудование), а также прилегающие территории - территория здание ИАС (к/ос по адресу:  шоссе, д.15 выполнение работы по эксплуатационно-техническое обслуживание и содержание объекты недвижимый и движимый имущество (включающие помещение и оборудование), а также прилегающие территории - территория здание ИАС (к/ос по адресу: г. Москва, шоссе, д.15;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; «оказание услуги по текущий ремонт на территория МДЦ «Артек»;;;;;;;
PH1;undefined;undefined;undefined;склад;undefined;" выполнение работы по текущий ремонт асфальтобетонный покрытиявшие мед.гбуз РМЦ ""Резерв"" МЗ РБ г. бирск";;;;;;;
PH4;республика башкортостан;уфимский;undefined;затон;9+154; ремонт мост через р.сюнь на км автомобильная дорога дем - в район ;;;;;;;
PH4;республика башкортостан;учалинский;undefined;белорецк,учалы,миасс;122+940,124+000; ремонт автомобильная дорога - - на участок км - км в район ;;;;;;;
PH3;республика башкортостан;бурзянский;undefined;undefined;13+752,18+937; капитальный ремонт автомобильная дорога старосубхангуловое – мраковое на участок км – км в район ;;;;;;;
PH4;республика башкортостан;туймазинский;undefined;николаевка,бакалы;61+774,63+000; ремонт автомобильная дорога белебей - - туймазы - на участок км - км в район ;;;;;;;
PH4;республика башкортостан;кармаскалинский;undefined;бузовьязы;16+700,21+700; ремонт автомобильная дорога булгаковое - на участок км - км в район ;;;;;;;
PH4;республика башкортостан;туймазинский;undefined;николаевка,бакалы;56+655,58+671; ремонт автомобильная дорога белебей - - туймазы - на участок км - км в район ;;;;;;;
PH4;республика башкортостан;благовещенский;undefined;павловка,благовещенск;47+400,48+600; ремонт автомобильная дорога – на участок км - км в район ;;;;;;;
PH4;республика башкортостан;илишевский;undefined;Волга;16+000,19+000;" ремонт автомобильная дорога М7 ""- новокутовое на участок км - км в район ";;;;;;;
PH4;республика башкортостан;калтасинский;undefined;янаул;15+351,16+200; ремонт автомобильная дорога а/д уфа - бирск - - старояшевое на участок км - км в район ;;;;;;;
PH3;undefined;чишминский;undefined;Аксеново,чишма,киргиз-мияки;27+000,31+000; ремонт автомобильная дорога М-5 «Урал» - - - на участок км - км в район;;;;;;;
PH3;республика башкортостан;салаватский;undefined;становка;undefined; усветофорные объекты в район ;;;;;;;
PH4;республика башкортостан;кигинский;undefined;тастуба,становка,сатка;км234+505; усветофорный объект на автомобильная дорога Бирск- -в район ;;;;;;;
PH4;республика башкортостан;туймазинский;undefined;николаевка,бакалы;53+000-,53+431вшие; ремонт автомобильная дорога белебей - - туймазы - на участок км км район ;;;;;;;
PH4;республика башкортостан;благовещенский;undefined;павловка,благовещенск;4+500,7+700; ремонт автомобильная дорога - на участок км - км в район ;;;;;;;
PH2;undefined;undefined;undefined;усть-кан,карагай,талда,беш-озек,переход,граница;125+125; реконструкция мостовый через река кан на км автомобильная дорога черг - - - - - казахстан;;;;;;;
PH2;undefined;undefined;undefined;переход;4+713;" реконструкция мостовый через река анос на км автомобильная дорога ""Аскат-Аюла""";;;;;;;
PH1;undefined;майминский;undefined;undefined;undefined; содержание автомобильные дороги и искусственные сооружения район;;;;;;;
PH1;undefined;undefined;undefined;undefined;0+000,0+200;" ремонт автомобильная дорога ""Онгудай-Каянча"" км – км ";;;;;;;
PH2;undefined;undefined;undefined;Иогач,переход;0+205;" восстановление уличный освещение мостовый через р. бия на км автомобильная дорога ""подъезд к с. ";;;;;;;
PH1;undefined;undefined;undefined;становка;undefined; унедостающие автопавильоны;;;;;;;
PH2;undefined;undefined;undefined;аркас;6,9; капитальный ремонт автомобильная дорога буйнакск – на участок км – км ;;;;;;;
PH3;undefined;тляратинский;undefined;ланда,шидиб;0,5,; реконструкция автомобильная дорога – км – км район (остаточные работы);;;;;;;
PH3;undefined;тляратинский;undefined;жажада;0,1,5,; строительство автомобильная дорога начад – км – км район (остаточные работы);;;;;;;
PH3;undefined;лакский,канский;undefined;унчукатль,ташкапур;0,1,; реконструкция подъезд к с. от автомобильная дорога мамраш – – арамост, км – км район;;;;;;;
PH1;undefined;Койгородский,Сысольский;undefined;undefined;undefined; выполнение работы по ямочный ремонт асфальтобетонный покрытие автомобильная дорога сыктывкар – кудымкар в мо МР «, мо МР «;;;;;;;
PH2;undefined;undefined;undefined;токтайбеляк,куженер;0+000,6+655; ремонт автомобильная дорога - на участок км - км ;;;;;;;
PH2;undefined;undefined;undefined;ашино,воробьи;4+100,5+072; выполнение работы по восстановление изношенные верхние слои покрытие автомобильная дорога – табна участок км – км ;;;;;;;
PH2;undefined;красногорский;undefined;undefined;7+500; обустройство автоматическое пункт весовой и габаритный контроль транспортные средства (АПВГК) на автомобильная дорога кокшайск-км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;12+000,17+000; ремонт автомобильная дорога морки - уньжинский на участок км - км ;;;;;;;
PH2;undefined;undefined;undefined;новый,пектубаево,оршанка;35+180; ремонт водопропускной труба на автомобильная дорога – – торъявший км ;;;;;;;
PH3;undefined;октябрьский;undefined;большие шапы,ореховка;8+250,9+250; выполнение работы по восстановление изношенные верхние слои покрытие автомобильная дорога – красно– на участок км – км ;;;;;;;
PH2;undefined;undefined;undefined;помары;50+400,55+100; содержание автомобильная дорога – коркатовое км – км ;;;;;;;
PH2;undefined;undefined;undefined;помары,звенигово;12+000,18+066; содержание автомобильная дорога – км – км ;;;;;;;
PH3;undefined;красногорский;undefined;кокшайск;12+000,22+700; содержание автомобильная дорога – км – км ;;;;;;;
PH2;undefined;undefined;undefined;елеево;0+000,5+000; содержание автомобильная дорога – мари-турек – лоповое км – км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;9+007,9+860; выполнение работы по восстановление изношенные верхние слои покрытие автомобильная дорога подъезд к г. йошкар-ола на участок км – км ;;;;;;;
PH2;undefined;undefined;undefined;новый,пектубаево,оршанка;50+988; капитальный ремонт водопропускной труба на автомобильная дорога – – торъявший км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;8+014; капитальный ремонт водопропускной труба на автомобильная дорога мари-турек – марь-купт – аимковое км ;;;;;;;
PH3;undefined;алексеевский;undefined;пектубаево,средний кадам;0+000,8+830; ремонт автомобильная дорога – – на участок км – км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;0+000,0+682; выполнение работы по восстановление изношенные верхние слои покрытие автомобильная дорога юшковое – ким на участок км – км ;;;;;;;
PH2;undefined;undefined;undefined;курукнур,шойбулак;0+000,4+700; восстановление изношенные верхние слои покрытие на автомобильная дорога – купсол – на участок км – км ;;;;;;;
PH3;республика мордовия;октябрьский;undefined;undefined;13+520,13+700,,14+000,17+000; капитальный ремонт автодорога г.саранск - с.кочкуровое - гр.пензенская обл. на участки км - км км - км в район г.о. саранск ;;;;;;;
PH3;республика саха (Якутия);усть-янский;undefined;undefined;108+000,248+700; выполнение дополнительные работы по зимний содержание автомобильная дорога общее пользование региональное значение «Булун» на участок км – км в улус (районе) ;;;;;;;
PH4;республика саха (Якутия);хангаласский;undefined;покровск,ленск,олёкминск;139+000,143+000;" выполнение работы по капитальный ремонт автомобильная дорога якутск - - - - пеледуй (а/д ""Умнас"") с подъезды к г. Покровск, п. Мохсоголлох, с. нюя на участок км - км в улус ";;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; «реконструкция автомобильная дорога гусар – Г. карец – В. Карца» (1 этап);;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по устройство сеть автоматические пункты весовой и габаритный контроль;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт;;;;;;;
PH4;республика татарстан;алексеевский;undefined;масловка,куркуль;13+090; выполнение работы по ремонт водопропускной труба на автодорога – – Ромодан, км в муниципальный район ;;;;;;;
PH4;республика татарстан;буинский;undefined;бик-утеево;1+050; выполнение работы по ремонт работы по ремонт водопропускной труба на автодорога «– каменный Брод» – Аксу, км в муниципальный район в ;;;;;;;
PH1;республика татарстан;undefined;undefined;undefined;undefined; На выполнение работы по ремонт автодороги общее пользование ;;;;;;;
PH1;республика татарстан;undefined;undefined;undefined;undefined; На выполнение работы по ремонт автодороги общее пользование ;;;;;;;
PH1;республика татарстан;undefined;undefined;undefined;undefined; На выполнение работы по ремонт автодороги общее пользование ;;;;;;;
PH1;undefined;undefined;undefined;становка;undefined; уэлементы обустройство автомобильные дороги (монтаж технические средства автоматическая фотовидеофиксации);;;;;;;
PH1;undefined;undefined;undefined;undefined;29,4-км,31,4; ремонт а/д ищерскай - Грозный, км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;50,6-км,51,5; ремонт а/д ищерскай - Грозный, км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;км19-км20; ремонт а/д ищерскай - Червленная, ;;;;;;;
PH1;undefined;undefined;undefined;undefined;59,5-км,62,5; ремонт а/д ищерскай - Червленная, км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;51,5-км,54,4; ремонт а/д ищерскай - Грозный, км ;;;;;;;
PH1;undefined;undefined;undefined;undefined;15-км,17,5; ремонт а/д ищерскай - Грозный, км ;;;;;;;
PH1;undefined;undefined;undefined;переходы,дорожное,дорожная;undefined; оборудование нерегулируемые пешеходные освещением, искусственные дорожные неровностями, светофоры Т.7 системы световой оповещения, дорожные знаки с внутренний освещение и светодиодная индикацией, г-образные опорами, разметкой, в то число с применение штучные формы и цветные дорожные покрытий, световозвращатели и индикаторами, а также устройства дополнительное освещение и другие элементы повышение безопасность движения.;;;;;;;
PH1;undefined;undefined;undefined;переходы,дорожное,дорожная;undefined; оборудование нерегулируемые пешеходные освещением, искусственные дорожные неровностями, светофоры Т.7 системы световой оповещения, дорожные знаки с внутренний освещение и светодиодная индикацией, г-образные опорами, разметкой, в то число с применение штучные формы и цветные дорожные покрытий, световозвращатели и индикаторами, а также устройства дополнительное освещение и другие элементы повышение безопасность движения.;;;;;;;
PH3;чувашская республика;аликовский;undefined;устье,чапаев;undefined; строительство автомобильная дорога по улицы Школьная, в с. район ;;;;;;;
PH2;undefined;undefined;undefined;айская;1»,80,66; благоустройство территория кгбоу «алтобщеобразовательная школа № по адресу: ул. гвардейская Дивизии, Б;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по строительство наружные электрические сети;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по строительство наружные электрические сети;;;;;;;
PH3;undefined;абинский;undefined;абинск,абинск;157+320,159+172; устройство и содержание электроосвещение на объекте: «автомобильная дорога г.усть-л– г.л– ст-ца Упорная, км – км в лрайоне»;;;;;;;
PH2;undefined;апшеронский;undefined;undefined;50+200,53+410;" устройство и содержание электроосвещение на объекте: ""автомобильная дорога г. майкоп - г. Туапсе, км - км в районе""";;;;;;;
PH2;ставропольский край;петровский;undefined;undefined;undefined; выполнение работы по устройство автономное освещение на автомобильные дороги общее пользование региональное или межмуниципальный значение и сооружения на они в Ипатовском, Апанасенковском, районы ;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; ремонт искусственные сооружения на автомобильная дорога;;;;;;;
PH3;undefined;ольский;undefined;новоалександровск;10+000,21+800.; выполнение работы по ремонт участок автомобильная дорога общее пользование региональное или межмуниципальный значение и сооружения на она – кропоткин (в границы ставропкрая), км – км ;;;;;;;
PH1;хабаровский край;undefined;undefined;undefined;undefined;" выполнение работы по обследование и диагностика автомобильная дорога региональное или межмуниципальный значение ""подъезд к рп. Лазарев""";;;;;;;
PH1;undefined;undefined;undefined;горное,селихино;undefined;" выполнение работы по устройство и содержание ледовая переправа на автомобильная дорога ""с. - г. Николаевск-на-Амуре"" на участок с. под- г. николаевск-на-амур";;;;;;;
PH2;undefined;undefined;undefined;ружное,обход;"0,13""";" выполнение работы по ремонт объект ""автомобильная дорога ""г. хабаровск км - км (линия уличный наосвещения)";;;;;;;
PH1;амурская область;undefined;undefined;undefined;undefined; выполнение работы по ремонт автомобильные дороги общее пользование региональное или межмуниципальный значение ;;;;;;;
PH4;астраханская область;камызякский;undefined;астрахань,Образцово,травино;37+635-км,56+105,18,47; ремонт автомобильная дорога общее пользование региональное значение - - в район на участок км протяжённость км;;;;;;;
PH4;волгоградская область;Чернышковский,чернышковский;undefined;цимлянск;6+000,11+000;" ремонт автомобильная дорога ""(ростовская область) – нижнегнутов –  (в границы территория волгоградская области) км – км в муниципальный район ";;;;;;;
PH4;волгоградская область;еланский;undefined;михайловка,вязовка,рудня,жирновск;58+793,68+550;" ремонт автомобильная дорога ""– – – – кумылженская – вёшенская (ростовская область)"" (в границы территория волгоградская области) км – км в муниципальный район ";;;;;;;
PH3;ивановская область;комсомольский;undefined;комсомольск;undefined; выполнение работы по ремонт автомобильная дорога писцово-в район ;;;;;;;
PH2;калининградская область;undefined;undefined;обильное,ружное,дорожное;undefined; на выполнение работы по мероприятия по обеспечение безопасность движение по автомдороги общее пользование региональное или межмуниципальный значения, относящиеся к собственность (ремонт наосвещение на автомобильные дороги калининградская области);;;;;;;
PH2;undefined;undefined;undefined;полесск;8,09-10,9; на реконструкция автомобильная дорога калининград-км ;;;;;;;
PH2;калужская область;бабынинский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH1;undefined;undefined;undefined;Калуга;undefined;" выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение в городской округ ""город ";;;;;;;
PH2;калужская область;медынский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;юхновский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;мосальский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;износковский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;мещовский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;козельский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;сухиничский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;барятинский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;куйбышевский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;спас-деменский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;думиничский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;жиздринский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;ульяновский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;людиновский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;хвастовичский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;перемышльский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH2;калужская область;кировский;undefined;undefined;undefined; выполнение работы по содержание автомобильные дороги общее пользование региональное или межмуниципальный значение район ;;;;;;;
PH3;undefined;центральный;undefined;комсомольск,большая;3,87,8; выполнение работы по ремонт размытые и разрушенные участки автомобильная дорога тисуля – - натальевка-км – км ;;;;;;;
PH2;undefined;Ленинск-Кузнецкий;undefined;undefined;150,153; выполнение работы по содержание стационарное электрическое освещение на автомобильная дорога Новосибирск-Кемерово-Юрга, км – км ;;;;;;;
PH2;undefined;таштагольский;undefined;пальное,дорожное;undefined; выполнение работы по содержание мобильные технические средств, работающие в автоматический режим и имеющие функции фотосъёмка и видеозаписи для фиксация нарушения правила движения, на автомобильные дороги общее пользование на территория муницирайон;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по устройство асфальтобетонный покрытие на территория учреждение;;;;;;;
PH0;undefined;undefined;undefined;undefined;undefined; выполнение работы по устройство асфальтобетонный покрытие в рамки текущий ремонт;;;;;;;
PH3;курская область;undefined;undefined;становка;2020; выполнение работы по уэлементы обустройство автомобильные дороги - светофорные объекты (Т.1, П.1, Т.7) в рамки выполнение работы по содержание действующая сеть автомобильные дороги общее пользование региональное или межмуниципальный значение в год;;;;;;;
PH1;курская область;undefined;undefined;undefined;undefined; выполнение работы по ремонт автомобильные дороги общее пользование региональное или межмуниципальный значение в ;;;;;;;
PH4;курская область;солнцевский,Солнцево,Солнцево,солнцево;undefined;Никольское,турово,турово,Обоянь;0+175,0,286;" выполнение работы по ремонт автомобильная дорога ""-Ман-""Обоянь-Ман-  (подъезд к фок в п. на км а/д протяжённость км) в район ";;;;;;;
PH4;ленинградская область;озерский,озерский;undefined;комсомольское,озерск,озерск;56+768,59+268,56+768,59+268;" выполнение работы по объекту: ""капитальный ремонт автомобильная дорога общее пользование региональное значение - прина участок км - км в прирайон по адресу: ленинградская область, прирайон, км - км а/д Комсомольское-При.";;;;;;;
PH4;ленинградская область;озерский,озерский;undefined;Яблоновка,Яблоновка,громовое,громовое;0+000,9+100,0+000,9+100»;" выполнение работы по объекту: «капитальный ремонт автомобильная дорога общее пользование региональное значение ""-  км - км в прирайон по адресу: ленинградская область, прирайон, автомобильная дорога общее пользование региональное значение ""-  км - км ";;;;;;;
PH3;магаданская область;undefined;undefined;правый,ручей,объезд,родное;1-я,189+241;" выполнение работы по устройство временной останцовый км автомобильная дорога общее пользование межмуниципальный значение ""Герба-Омсукчан"" в цели предупреждение возникновение чрезвычайная ситуация прии техногенный характера.";;;;;;;
PH1;undefined;undefined;undefined;undefined;3; выполнение работы по ремонт территории медицинские учреждений. лот № ;;;;;;;
PH1;undefined;undefined;undefined;undefined;1; выполнение работы по ремонт территории медицинские учреждений. лот № ;;;;;;;
PH1;undefined;undefined;undefined;undefined;2; выполнение работы по ремонт территории медицинские учреждений. лот № ;;;;;;;
PH1;undefined;undefined;undefined;undefined;0,5; выполнение работы по обустройство наиболее опасные участки автомобильная дорога кола - серебрянские ГЭС, км - км дорожные ограждения;;;;;;;
PH1;undefined;undefined;undefined;undefined;10,,12; ремонт проезды и автомобильные парковки в район д.7, по пр.кап.рачковая в г.кстово;;;;;;;
PH2;новосибирская область;чановский;undefined;undefined;undefined; выполнение работы по капитальный ремонт а/д «чаны – венгеровое - Кыштовка» в район ;;;;;;;
PH3;новосибирская область;северный;undefined;северное,чуваши;undefined; выполнение работы по ремонт а/д «– - Кордон» в район ;;;;;;;
PH1;новосибирская область;undefined;undefined;undefined;undefined; на выполнение работы по устройство пункты весовой и габаритный контроль транспортные средства на автомобильные дороги в рамки капитальный ремонта.;;;;;;;
PH1;undefined;undefined;undefined;вольное;undefined; выполнение работы по ремонт а/д «296 км а/д «к-17р»-полойка-травное-до(в гр. района)» в краснозёрский район новосибирская области.;;;;;;;
PH1;undefined;undefined;undefined;павлодар;undefined; выполнение работы по ремонт автомобильная дорога «новосибирск-кочки-(в пред. РФ)» в краснозёрский район новосибирская области.;;;;;;;
PH3;омская область;одесский;undefined;пальные,азовское;undefined; выполнение работы по ремонт автомобильная дорога в немецкий национальный и муницирайоны ;;;;;;;
PH1;undefined;undefined;undefined;рожки;undefined;" асфальтирование пешеходная до""2 корпус-досуговый центр"" на территория БУ ОО ""дол ""Мечта""";;;;;;;
PH2;оренбургская область;undefined;undefined;источник,становка,дорожное;undefined; выполнение работы по устройство инженерно-технические системы обеспечение безопасность движение в часть уавтономное освещение на солнечные батареи на автомобильные дороги общее пользование региональное и межмуниципальный значение ;;;;;;;
PH4;оренбургская область;бугурусланский;undefined;уральск,ульма,бугуруслан,бузулук;126+598,126+910; выполнение работы по замена барьерный ограждение на автомобильная дорога буг- - - км - км в район ;;;;;;;
